13:10:50.366 -> Forming a connection to e3:27:98:fc:95:ca
13:10:50.366 ->  - Created client
13:10:53.342 ->  - Connected to server
13:10:54.000 ->  - Found our service
13:10:54.000 ->  - Found our characteristic
13:10:54.000 -> We are now connected to the BLE Server.
13:10:54.140 -> e32798fc95ca.txt exists.
13:10:54.140 -> GIVEN SN: E0001
13:10:54.279 -> GROUND SIGNALS ON ALL INPUTS
13:10:58.849 -> V1: -0.02110 V2: -0.01307 T1: 4.67800 T2: 4.69600
13:10:58.849 -> V1: -0.00079 V2: 0.01293 T1: 4.71400 T2: 4.73200
13:10:58.895 -> V1: 0.02521 V2: 0.03080 T1: 4.75000 T2: 4.76800
13:10:58.942 -> V1: 0.02521 V2: 0.01211 T1: 4.78600 T2: 4.80400
13:10:58.942 -> V1: -0.00566 V2: -0.01632 T1: 4.82200 T2: 4.84000
13:10:58.989 -> V1: -0.02191 V2: -0.01470 T1: 4.85800 T2: 4.87600
13:10:59.036 -> V1: -0.00241 V2: 0.01049 T1: 4.89500 T2: 4.91300
13:10:59.083 -> V1: 0.02115 V2: 0.03080 T1: 4.93100 T2: 4.95000
13:10:59.130 -> V1: 0.03090 V2: 0.02593 T1: 4.96800 T2: 4.98600
13:10:59.130 -> V1: 0.01221 V2: -0.00495 T1: 5.00400 T2: 5.02200
13:10:59.176 -> V1: -0.01623 V2: -0.02039 T1: 5.04100 T2: 5.05900
13:10:59.223 -> V1: -0.01948 V2: -0.00901 T1: 5.07700 T2: 5.09500
13:10:59.270 -> V1: 0.00409 V2: 0.01943 T1: 5.11400 T2: 5.13200
13:10:59.316 -> V1: 0.02927 V2: 0.02999 T1: 5.15000 T2: 5.16800
13:10:59.316 -> V1: 0.02277 V2: 0.01049 T1: 5.18600 T2: 5.20400
13:10:59.363 -> V1: -0.00648 V2: -0.01632 T1: 5.22200 T2: 5.24100
13:10:59.410 -> V1: -0.02110 V2: -0.01876 T1: 5.25900 T2: 5.27700
13:10:59.457 -> V1: -0.00891 V2: 0.00155 T1: 5.29600 T2: 5.31400
13:10:59.457 -> V1: 0.01302 V2: 0.02593 T1: 5.33200 T2: 5.35000
13:10:59.504 -> V1: 0.03090 V2: 0.02593 T1: 5.36900 T2: 5.38700
13:10:59.551 -> V1: 0.01221 V2: -0.00414 T1: 5.40500 T2: 5.42300
13:10:59.597 -> V1: -0.01541 V2: -0.02039 T1: 5.44100 T2: 5.45900
13:10:59.644 -> V1: -0.01948 V2: -0.00739 T1: 5.47700 T2: 5.49500
13:10:59.644 -> V1: 0.00490 V2: 0.02024 T1: 5.51300 T2: 5.53100
13:10:59.691 -> V1: 0.03009 V2: 0.02918 T1: 5.55000 T2: 5.56800
13:10:59.737 -> V1: 0.01952 V2: 0.00318 T1: 5.58600 T2: 5.60400
13:10:59.784 -> V1: -0.00973 V2: -0.01714 T1: 5.62200 T2: 5.64100
13:10:59.784 -> V1: -0.02191 V2: -0.01551 T1: 5.65900 T2: 5.67700
13:10:59.831 -> V1: -0.00485 V2: 0.00643 T1: 5.69500 T2: 5.71300
13:10:59.878 -> V1: 0.01952 V2: 0.02918 T1: 5.73200 T2: 5.75000
13:10:59.926 -> V1: 0.03090 V2: 0.02511 T1: 5.76800 T2: 5.78600
13:10:59.973 -> V1: 0.00896 V2: -0.00657 T1: 5.80400 T2: 5.82200
13:10:59.973 -> V1: -0.01785 V2: -0.02039 T1: 5.84100 T2: 5.85900
13:11:00.020 -> V1: -0.01704 V2: -0.00576 T1: 5.87700 T2: 5.89600
13:11:00.067 -> V1: 0.00490 V2: 0.01943 T1: 5.91400 T2: 5.93200
13:11:00.067 -> V1: 0.02927 V2: 0.03161 T1: 5.95000 T2: 5.96800
13:11:00.114 -> V1: 0.02440 V2: 0.00968 T1: 5.98600 T2: 6.00500
13:11:00.162 -> V1: -0.00485 V2: -0.01551 T1: 6.02300 T2: 6.04100
13:11:00.209 -> V1: -0.02110 V2: -0.01795 T1: 6.05900 T2: 6.07700
13:11:00.255 -> V1: -0.00729 V2: 0.00561 T1: 6.09600 T2: 6.11400
13:11:00.302 -> V1: 0.01871 V2: 0.02755 T1: 6.13200 T2: 6.15100
13:11:00.302 -> V1: 0.03090 V2: 0.02593 T1: 6.16900 T2: 6.18700
13:11:00.350 -> V1: 0.01302 V2: -0.00007 T1: 6.20500 T2: 6.22300
13:11:00.396 -> V1: -0.01379 V2: -0.02039 T1: 6.24200 T2: 6.26000
13:11:00.396 -> V1: -0.02029 V2: -0.01145 T1: 6.27800 T2: 6.29600
13:11:00.443 -> V1: 0.00165 V2: 0.01536 T1: 6.31400 T2: 6.33200
13:11:00.489 -> V1: 0.02684 V2: 0.03161 T1: 6.35100 T2: 6.36900
13:11:00.535 -> V1: 0.02684 V2: 0.01618 T1: 6.38700 T2: 6.40600
13:11:00.581 -> V1: 0.00327 V2: -0.01064 T1: 6.42400 T2: 6.44200
13:11:00.581 -> V1: -0.01948 V2: -0.01957 T1: 6.46000 T2: 6.47800
13:11:00.628 -> V1: -0.01054 V2: 0.00155 T1: 6.49600 T2: 6.51500
13:11:00.675 -> V1: 0.01221 V2: 0.02674 T1: 6.53300 T2: 6.55100
13:11:00.722 -> V1: 0.03090 V2: 0.02836 T1: 6.56900 T2: 6.58700
13:11:00.769 -> V1: 0.01627 V2: -0.00089 T1: 6.60500 T2: 6.62300
13:11:00.815 -> V1: -0.01460 V2: -0.02120 T1: 6.64100 T2: 6.65900
13:11:00.815 -> V1: -0.01866 V2: -0.00576 T1: 6.67700 T2: 6.69600
13:11:00.861 -> V1: 0.00652 V2: 0.02105 T1: 6.71400 T2: 6.73200
13:11:00.909 -> V1: 0.02927 V2: 0.03161 T1: 6.75100 T2: 6.76900
13:11:00.909 -> V1: 0.02602 V2: 0.01374 T1: 6.78700 T2: 6.80600
13:11:00.954 -> V1: 0.00327 V2: -0.00820 T1: 6.82400 T2: 6.84200
13:11:01.000 -> V1: -0.01866 V2: -0.02039 T1: 6.86100 T2: 6.87900
13:11:01.046 -> V1: -0.01379 V2: 0.00074 T1: 6.89700 T2: 6.91500
13:11:01.094 -> V1: 0.01140 V2: 0.02268 T1: 6.93300 T2: 6.95200
13:11:01.094 -> V1: 0.03090 V2: 0.02836 T1: 6.96900 T2: 6.98700
13:11:01.141 -> V1: 0.01546 V2: 0.00155 T1: 7.00600 T2: 7.02400
13:11:01.189 -> V1: -0.01216 V2: -0.01876 T1: 7.04200 T2: 7.06000
13:11:01.235 -> V1: -0.02029 V2: -0.01064 T1: 7.07800 T2: 7.09600
13:11:01.282 -> V1: 0.00165 V2: 0.01618 T1: 7.11500 T2: 7.13300
13:11:01.282 -> V1: 0.02521 V2: 0.03161 T1: 7.15100 T2: 7.16900
13:11:01.329 -> V1: 0.02765 V2: 0.01699 T1: 7.18800 T2: 7.20600
13:11:01.376 -> V1: 0.00246 V2: -0.00901 T1: 7.22400 T2: 7.24200
13:11:01.422 -> V1: -0.01948 V2: -0.02039 T1: 7.26100 T2: 7.27900
13:11:01.422 -> V1: -0.01623 V2: -0.00170 T1: 7.29700 T2: 7.31500
13:11:01.469 -> V1: 0.01059 V2: 0.02430 T1: 7.33300 T2: 7.35200
13:11:01.515 -> V1: 0.03090 V2: 0.02836 T1: 7.37000 T2: 7.38800
13:11:01.561 -> V1: 0.01871 V2: 0.00480 T1: 7.40600 T2: 7.42400
13:11:01.608 -> V1: -0.01054 V2: -0.01876 T1: 7.44200 T2: 7.46000
13:11:01.608 -> V1: -0.02029 V2: -0.01064 T1: 7.47800 T2: 7.49700
13:11:01.654 -> V1: 0.00165 V2: 0.01374 T1: 7.51500 T2: 7.53300
13:11:01.701 -> V1: 0.02277 V2: 0.03161 T1: 7.55100 T2: 7.56900
13:11:01.747 -> V1: 0.02684 V2: 0.01293 T1: 7.58700 T2: 7.60500
13:11:01.747 -> V1: -0.00404 V2: -0.01551 T1: 7.62300 T2: 7.64100
13:11:01.794 -> V1: -0.02191 V2: -0.01714 T1: 7.66000 T2: 7.67800
13:11:01.841 -> V1: -0.00485 V2: 0.00643 T1: 7.69600 T2: 7.71400
13:11:01.887 -> V1: 0.01790 V2: 0.02999 T1: 7.73200 T2: 7.75000
13:11:01.935 -> V1: 0.03009 V2: 0.02186 T1: 7.76900 T2: 7.78700
13:11:01.935 -> V1: 0.00734 V2: -0.00739 T1: 7.80500 T2: 7.82300
13:11:01.983 -> V1: -0.01785 V2: -0.02120 T1: 7.84100 T2: 7.85900
13:11:02.029 -> V1: -0.01541 V2: -0.00007 T1: 7.87700 T2: 7.89500
13:11:02.075 -> V1: 0.01384 V2: 0.02674 T1: 7.91300 T2: 7.93100
13:11:02.121 -> V1: 0.03171 V2: 0.02511 T1: 7.94900 T2: 7.96700
13:11:02.121 -> V1: 0.01140 V2: -0.00495 T1: 7.98500 T2: 8.00400
13:11:02.168 -> V1: -0.01379 V2: -0.01957 T1: 8.02200 T2: 8.04100
13:11:02.214 -> V1: -0.02029 V2: -0.01145 T1: 8.05900 T2: 8.07700
13:11:02.308 -> 
13:11:02.308 -> Median	CH I	0.004038 +- 0.001854 
13:11:02.308 -> standard deviation	CH I	0.018544 
13:11:02.308 -> Median	CH II	0.004599 +- 0.001838 
13:11:02.308 -> standard deviation	CH II	0.018377 
13:11:02.308 -> 
13:11:02.308 -> target was: 12.00 +- 0.10
13:11:02.308 -> problem on CHI  -  problem on CHII
13:11:02.308 -> 
13:11:02.495 -> -12 SIGNALS ON ALL INPUTS
13:11:02.731 -> V1: -0.00079 V2: -0.01226 T1: 8.60400 T2: 8.62200
13:11:02.779 -> V1: -0.02029 V2: -0.01957 T1: 8.64100 T2: 8.65900
13:11:02.825 -> V1: -0.01298 V2: 0.00074 T1: 8.67700 T2: 8.69500
13:11:02.871 -> V1: 0.01465 V2: 0.02674 T1: 8.71300 T2: 8.73100
13:11:02.871 -> V1: 0.03090 V2: 0.02511 T1: 8.74900 T2: 8.76700
13:11:02.917 -> V1: 0.01059 V2: -0.00576 T1: 8.78500 T2: 8.80300
13:11:02.964 -> V1: -0.01704 V2: -0.02039 T1: 8.82200 T2: 8.84000
13:11:03.010 -> V1: -0.01785 V2: -0.00495 T1: 8.85800 T2: 8.87700
13:11:03.057 -> V1: 0.00490 V2: 0.01943 T1: 8.89500 T2: 8.91300
13:11:03.057 -> V1: 0.02927 V2: 0.02999 T1: 8.93100 T2: 8.94900
13:11:03.104 -> V1: 0.02196 V2: 0.00724 T1: 8.96700 T2: 8.98500
13:11:03.150 -> V1: -0.00810 V2: -0.01795 T1: 9.00300 T2: 9.02100
13:11:03.197 -> V1: -0.02110 V2: -0.01389 T1: 9.03900 T2: 9.05700
13:11:03.245 -> V1: -0.00079 V2: 0.01211 T1: 9.07600 T2: 9.09400
13:11:03.245 -> V1: 0.02277 V2: 0.03161 T1: 9.11200 T2: 9.13000
13:11:03.292 -> V1: 0.02765 V2: 0.01536 T1: 9.14800 T2: 9.16600
13:11:03.337 -> V1: -0.00160 V2: -0.01307 T1: 9.18400 T2: 9.20200
13:11:03.337 -> V1: -0.02110 V2: -0.01795 T1: 9.22000 T2: 9.23800
13:11:03.384 -> V1: -0.00810 V2: 0.00318 T1: 9.25700 T2: 9.27500
13:11:03.431 -> V1: 0.01465 V2: 0.02755 T1: 9.29300 T2: 9.31100
13:11:03.478 -> V1: 0.03090 V2: 0.02511 T1: 9.32900 T2: 9.34700
13:11:03.525 -> V1: 0.00896 V2: -0.00657 T1: 9.36600 T2: 9.38400
13:11:03.571 -> V1: -0.01623 V2: -0.02039 T1: 9.40200 T2: 9.42100
13:11:03.571 -> V1: -0.01866 V2: -0.00739 T1: 9.43900 T2: 9.45700
13:11:03.617 -> V1: 0.00246 V2: 0.01536 T1: 9.47500 T2: 9.49300
13:11:03.664 -> V1: 0.02684 V2: 0.03161 T1: 9.51200 T2: 9.53000
13:11:03.711 -> V1: 0.02846 V2: 0.01536 T1: 9.54800 T2: 9.56600
